,Community,Cluster Labels,%White,%Hisp,%Black,%Asian,per_capita_income,%25+_no_diploma,%16+_unemployed,%under18_over64
42,South Shore,0,0.03,0.01,0.94,0.01,19398,14.0,20.0,35.7
25,West Garfield Park,0,0.02,0.02,0.94,0.0,10934,24.5,25.8,43.6
24,Austin,0,0.05,0.13,0.81,0.01,15957,24.4,22.6,37.9
67,Englewood,0,0.01,0.03,0.95,0.0,11888,28.5,28.0,42.5
65,Chicago Lawn,0,0.04,0.5,0.45,0.0,13231,31.2,17.1,40.6
70,Auburn Gresham,0,0.01,0.02,0.96,0.0,15528,18.5,28.3,41.9
35,Oakland,0,0.03,0.05,0.9,0.02,19252,18.4,28.7,40.4
37,Grand Boulevard,0,0.03,0.02,0.92,0.0,23472,15.9,24.3,39.5
26,East Garfield Park,0,0.06,0.04,0.89,0.01,12961,21.3,19.6,43.2
43,Chatham,0,0.02,0.01,0.96,0.0,18881,14.5,24.0,40.3
44,Avalon Park,0,0.01,0.01,0.97,0.0,24454,10.6,21.1,39.3
66,West Englewood,0,0.01,0.06,0.91,0.0,11317,26.3,35.9,40.7
47,Calumet Heights,0,0.02,0.03,0.94,0.0,28887,11.0,20.0,44.0
48,Roseland,0,0.01,0.01,0.96,0.0,17949,16.9,20.3,41.2
71,Beverly,0,0.58,0.05,0.34,0.01,39523,3.7,8.0,40.5
72,Washington Heights,0,0.01,0.01,0.96,0.0,19713,13.7,20.8,42.6
49,Pullman,0,0.1,0.05,0.83,0.0,20588,13.1,22.8,38.6
50,South Deering,0,0.04,0.31,0.64,0.0,14685,21.0,16.3,39.5
52,West Pullman,0,0.01,0.06,0.92,0.0,16563,20.5,19.4,42.1
60,New City,0,0.12,0.62,0.22,0.03,12765,41.5,23.0,38.9
46,Burnside,0,0.0,0.01,0.97,0.0,12515,19.3,18.6,42.7
63,Clearing,1,0.43,0.53,0.02,0.01,25113,18.8,9.5,37.6
36,Fuller Park,1,0.03,0.07,0.89,0.0,10432,26.6,33.9,44.9
34,Douglas,1,0.11,0.03,0.71,0.13,23791,14.3,18.2,30.7
33,Armour Square,1,0.13,0.04,0.09,0.73,16148,34.5,16.7,38.3
32,Near South Side,1,0.47,0.05,0.23,0.22,59077,7.4,4.9,21.8
54,Hegewisch,1,0.39,0.57,0.04,0.0,22677,19.2,9.6,42.9
0,Rogers Park,1,0.43,0.22,0.26,0.05,23939,18.2,8.7,27.5
59,Bridgeport,1,0.34,0.24,0.03,0.39,22694,22.2,13.7,31.3
11,Forest Glen,1,0.71,0.14,0.01,0.13,44164,4.9,6.8,40.5
10,Jefferson Park,1,0.65,0.22,0.01,0.09,27751,13.4,12.4,35.5
73,Mount Greenwood,1,0.85,0.09,0.03,0.02,34381,4.3,8.7,36.8
4,North Center,1,0.77,0.12,0.02,0.05,57123,4.5,5.2,26.2
12,North Park,1,0.52,0.17,0.03,0.25,26576,14.4,9.9,39.0
13,Albany Park,1,0.3,0.48,0.05,0.14,21323,32.9,10.0,32.0
3,Lincoln Square,1,0.64,0.17,0.04,0.11,37524,13.4,8.2,25.5
14,Portage Park,1,0.5,0.41,0.01,0.05,24336,19.3,12.6,34.0
9,Norwood Park,1,0.81,0.12,0.0,0.03,32875,11.5,9.0,39.5
74,Morgan Park,1,0.28,0.04,0.66,0.0,27149,10.8,15.0,40.3
16,Dunning,1,0.64,0.28,0.02,0.05,26282,16.2,10.0,33.6
1,West Ridge,1,0.42,0.19,0.12,0.23,23040,20.8,8.8,38.5
69,Ashburn,1,0.11,0.39,0.48,0.01,23482,17.7,11.7,36.9
68,Greater Grand Crossing,1,0.01,0.01,0.96,0.0,17285,16.5,23.0,41.0
15,Irving Park,1,0.42,0.43,0.03,0.09,27249,22.4,10.0,31.6
8,Edison Park,1,0.83,0.1,0.02,0.03,40959,7.4,6.5,35.3
51,East Side,2,0.16,0.8,0.03,0.0,17104,31.9,12.1,42.8
55,Garfield Ridge,2,0.45,0.49,0.04,0.01,26353,19.3,11.3,38.1
56,Archer Heights,2,0.17,0.77,0.01,0.04,16134,35.9,16.5,39.2
57,Brighton Park,2,0.07,0.83,0.01,0.08,13089,45.1,13.9,39.3
58,McKinley Park,2,0.17,0.61,0.01,0.2,16954,32.9,13.4,35.6
28,North Lawndale,2,0.03,0.09,0.87,0.0,12034,27.6,21.2,42.7
61,West Elsdon,2,0.14,0.82,0.01,0.02,15754,37.0,16.7,37.7
62,Gage Park,2,0.04,0.92,0.04,0.0,12171,51.5,18.2,38.8
64,West Lawn,2,0.15,0.81,0.03,0.01,16907,33.6,9.6,39.6
17,Montclare,2,0.33,0.58,0.04,0.03,22014,23.5,13.8,38.6
18,Belmont Cragin,2,0.13,0.81,0.03,0.02,15461,37.3,14.6,37.3
19,Hermosa,2,0.09,0.85,0.03,0.02,15089,41.6,13.1,36.4
30,Lower West Side,2,0.16,0.76,0.04,0.02,16444,40.7,15.8,32.6
45,South Chicago,2,0.03,0.21,0.75,0.0,16579,26.6,19.7,41.1
29,South Lawndale,2,0.04,0.84,0.12,0.0,10402,54.8,15.8,33.8
38,Kenwood,3,0.17,0.02,0.68,0.09,35911,11.3,15.7,35.4
41,Woodlawn,3,0.09,0.03,0.83,0.03,18672,16.5,23.4,36.1
40,Hyde Park,3,0.46,0.08,0.27,0.13,39056,4.3,8.4,26.2
39,Washington Park,3,0.01,0.02,0.94,0.0,13785,25.4,28.6,42.8
75,O'Hare,3,0.8,0.06,0.01,0.08,25828,10.9,7.1,30.3
31,The Loop,3,0.62,0.07,0.11,0.17,65526,3.1,5.7,13.5
27,Near West Side,3,0.42,0.1,0.29,0.17,44689,9.6,10.7,22.2
23,West Town,3,0.61,0.25,0.07,0.04,43198,12.9,6.6,21.7
22,Humboldt Park,3,0.06,0.56,0.35,0.01,13781,35.4,17.3,38.0
21,Logan Square,3,0.46,0.44,0.05,0.03,31908,14.8,8.2,26.2
20,Avondale,3,0.34,0.58,0.02,0.04,20039,24.7,9.2,31.0
7,Near North Side,3,0.71,0.06,0.09,0.11,88669,2.5,7.0,22.6
6,Lincoln Park,3,0.79,0.07,0.05,0.07,71551,3.6,5.1,21.5
5,Lake View,3,0.79,0.08,0.03,0.06,60058,2.6,4.7,17.0
2,Uptown,3,0.55,0.14,0.18,0.1,35787,11.8,8.9,22.2
76,Edgewater,3,0.55,0.17,0.13,0.12,33385,9.7,9.2,23.8
53,Riverdale,4,0.02,0.04,0.93,0.0,8201,27.5,34.6,51.5
